source_id,instagram_handle,source_type,observed_date,published_date,profile_visibility,displayed_follower_count,public_location_text,raw_text
SRC-006-B,@coconut.tree.classroom,post,2026-08-06,2026-07-17,,,,"Three phonics games and six diverse picture books for kindergarten groups."
SRC-007-P,@storytime.with.abi,profile,2026-08-06,,Private,,,"Account is private. No public profile content is available."
SRC-008-P,@two.languages.one.home,profile,2026-08-06,,Public,12600,,"Bilingual family routines, children's stories, and language-learning encouragement. Educational collaborations: two@synthetic.invalid"
SRC-008-A,@two.languages.one.home,post,2026-08-06,2026-07-27,,,,"This Tamil rhyme has become part of our after-school transition."
SRC-008-B,@two.languages.one.home,post,2026-08-06,2026-07-15,,,,"Four habits that make bilingual reading feel manageable for busy families."
SRC-009-P,@tiny.tamil.steps,profile,2026-08-06,,Public,4900,"Bristol, United Kingdom","Simple Tamil words and playful learning for young families."
SRC-009-A,@tiny.tamil.steps,post,2026-08-06,2026-08-04,,,,"A board-book activity for practising five Tamil action words."
SRC-010-P,@bilingual.banyan,profile,2026-08-06,,Public,82400,"Sydney, Australia","Family culture, bilingual life, travel, and books. Managed enquiries: banyan@synthetic.invalid"
SRC-010-A,@bilingual.banyan,post,2026-08-06,2026-07-22,,,,"A roundup of multicultural picture books, including two Tamil-English titles."
SRC-011-P,@moonlit.mozhigal,profile,2026-08-06,,Public,2350,"Hamburg, Germany","Bedtime Tamil, gentle songs, and first words for little listeners. Book reviews welcome."
SRC-011-A,@moonlit.mozhigal,post,2026-08-06,2026-07-12,,,,"Listen and repeat: six Tamil words from tonight's bedtime story."
SRC-012-P,@chai.and.chapterbooks,profile,2026-08-06,,Public,46700,"Ottawa, Canada","Family reading, middle-grade reviews, and South Asian stories. Publisher enquiries welcome."
SRC-012-A,@chai.and.chapterbooks,post,2026-08-06,2026-07-20,,,,"New middle-grade books for readers ages eight to twelve, including one Tamil heritage story."
SRC-012-B,@chai.and.chapterbooks,post,2026-08-06,2026-07-10,,,,"A guide to discussing migration stories with independent readers."
SRC-013-P,@sprout.and.script,profile,2026-08-06,,Public,1980,"Illinois, United States","Play-based literacy and heritage-language activities for preschoolers. Business: sprout@synthetic.invalid"
SRC-013-A,@sprout.and.script,post,2026-08-06,2026-08-02,,,,"Matching Tamil sounds to picture cards for a five-minute preschool activity."
SRC-014-P,@the.culture.cubby,profile,2026-08-06,,Public,15600,"Manchester, United Kingdom","Community learning studio helping children explore Tamil arts, stories, and language. Partnership information available."
SRC-014-A,@the.culture.cubby,post,2026-08-06,2026-07-28,,,,"Registration is open for our children's Tamil storytelling and beginner-language session."
SRC-015-P,@weekend.with.vani,profile,2026-08-06,,Public,11700,"Perth, Australia","Family outings, home cooking, and everyday moments."
SRC-015-A,@weekend.with.vani,post,2026-08-06,2026-05-14,,,,"A weekend craft inspired by Tamil New Year decorations."
SRC-016-P,@letters.from.lavanya,profile,2026-08-06,,Public,7600,"Munich, Germany","Children's librarian sharing multilingual picture books and cultural story resources. Publisher review copies welcome."
SRC-016-A,@letters.from.lavanya,post,2026-08-06,2026-07-26,,,,"Three Tamil-English picture books for a multilingual library story hour."
SRC-016-B,@letters.from.lavanya,post,2026-08-06,2026-07-14,,,,"How I build a story kit for children who are new to heritage-language reading."
SRC-017-P,@minnow.and.mango,profile,2026-08-06,,Public,22400,"Calgary, Canada","Creative play, lunchbox ideas, and family-friendly finds. Partnerships: minnow@synthetic.invalid"
SRC-017-A,@minnow.and.mango,post,2026-08-06,2026-07-24,,,,"A Tamil counting activity using mango-shaped paper pieces."
SRC-017-B,@minnow.and.mango,post,2026-08-06,2026-07-19,,,,"Three quick lunchbox ideas for a busy summer week."
SRC-018-P,@paati.story.circle,profile,2026-08-06,,Public,38900,"New Jersey, United States","Intergenerational Tamil storytelling and literacy resources for families. School and publisher partnerships welcome."
SRC-018-A,@paati.story.circle,post,2026-08-06,2026-08-05,,,,"Paati narrates a folktale, then introduces the five Tamil words children will hear most often."
SRC-018-B,@paati.story.circle,post,2026-08-06,2026-07-25,,,,"A guide for reading Tamil word cards with children who answer in English."
SRC-019-P,@small.world.sahana,profile,2026-08-06,,Public,13100,"Leeds, United Kingdom","Multicultural play and language ideas for families with young children. Contact: sahana@synthetic.invalid"
SRC-019-A,@small.world.sahana,post,2026-08-06,2026-07-23,,,,"We tried a Tamil colour-matching printable during our multicultural play week."
SRC-019-B,@small.world.sahana,post,2026-08-06,2026-07-17,,,,"Our home-language shelf is focused on Malayalam this month."
SRC-020-P,@bookish.kolam,profile,2026-08-06,,Public,29900,"Adelaide, Australia","Tamil picture books, kolam-inspired learning, and creative literacy at home. Media kit: bookish@synthetic.invalid"
SRC-020-A,@bookish.kolam,post,2026-08-06,2026-07-21,,,,"A Tamil word-building game paired with a new picture-book recommendation."
SRC-020-B,@bookish.kolam,post,2026-08-06,2026-07-13,,,,"Kolam shapes became prompts for a family storytelling activity."
SRC-021-P,@tambourine.tamil,profile,2026-08-06,,Private,,,"Account is private. No public profile content is available."
SRC-022-P,@maple.story.nest,profile,2026-08-06,,Inaccessible,,,"Profile could not be accessed without a login. No public content was collected."
SRC-023-P,@tiny.letters.club,profile,2026-08-06,,Public,8800,"Boston, United States","Early literacy games and printable activities for preschool classrooms."
SRC-023-A,@tiny.letters.club,post,2026-08-06,2026-05-03,,,,"A spring letter-sorting activity for preschool groups."
SRC-024-P,@spice.route.supper,profile,2026-08-06,,Public,19400,"Birmingham, United Kingdom","Restaurant reviews, recipe videos, and weekend dining guides. Brand bookings open."
SRC-024-A,@spice.route.supper,post,2026-08-06,2026-08-02,,,,"Five places for South Indian breakfast this weekend."
SRC-025-P,@bonjour.bilinguals,profile,2026-08-06,,Public,12700,"Lyon, France","French-English bilingual books and playful language routines. Publisher enquiries welcome."
SRC-025-A,@bonjour.bilinguals,post,2026-08-06,2026-07-30,,,,"Three French-English board books for a first bilingual shelf."
SRC-026-P,@pattu.picturebooks,profile,2026-08-06,,Public,1450,"Dallas, United States","Tamil picture-book reviews and simple story activities for young readers. Review copies welcome."
SRC-026-A,@pattu.picturebooks,post,2026-08-06,2026-08-01,,,,"A Tamil animal story and three questions to ask after reading."
SRC-027-P,@family.canvas.co,profile,2026-08-06,,Public,64100,"Edmonton, Canada","Family crafts, inclusive books, and sponsored learning activities."
SRC-027-A,@family.canvas.co,post,2026-08-06,2026-07-29,,,,"A colour-mixing activity inspired by South Asian textiles."
SRC-028-P,@coastal.craft.days,profile,2026-08-06,,Public,9400,"Brisbane, Australia","Beach crafts, recycled art, and creative weekends with children. Collaboration email listed."
SRC-028-A,@coastal.craft.days,post,2026-08-06,2026-07-31,,,,"Build a cardboard lighthouse with three materials from the recycling bin."
SRC-029-P,@teen.reader.tara,profile,2026-08-06,,Public,17300,"Cologne, Germany","Young-adult books, study routines, and reading challenges for teens. Publisher enquiries welcome."
SRC-029-A,@teen.reader.tara,post,2026-08-06,2026-08-04,,,,"My ten favourite fantasy novels for readers fourteen and older."
SRC-030-P,@tamil.sprout.studio,profile,2026-08-06,,Public,11200,"Seattle, United States","Tamil songs, first words, and cultural crafts for children."
SRC-030-A,@tamil.sprout.studio,post,2026-08-06,2026-08-03,,,,"A five-word Tamil garden activity for preschool learners."
SRC-031-P,@heritage.playroom,profile,2026-08-06,,Public,7100,,"South Asian children's books, cultural play, and early-learning ideas."
SRC-031-A,@heritage.playroom,post,2026-08-06,2026-07-28,,,,"We paired a Tamil-English picture book with a simple matching game."
SRC-032-P,@across.two.homes,profile,2026-08-06,,Public,16800,"Toronto and Chennai","Bilingual family life, Tamil celebrations, and books across two homes."
SRC-032-A,@across.two.homes,post,2026-08-06,2026-07-27,,,,"Our current home base is Chennai, but older profile information still lists Toronto."
SRC-033-P,@abi.afterbedtime,profile,2026-08-06,,Private,,,"Account is private. No public profile content is available."
SRC-034-P,@kural.for.kids,profile,2026-08-06,,Public,20600,"London, United Kingdom","Short Tamil stories and Thirukkural ideas made approachable for young children. Partnerships welcome."
SRC-034-A,@kural.for.kids,post,2026-08-06,2026-08-05,,,,"A picture prompt that helps early readers discuss one simple Kural idea."
SRC-035-P,@little.mango.library,profile,2026-08-06,,Public,5200,"Montreal, Canada","Tamil-English books, library finds, and playful literacy for little readers. Review enquiries open."
SRC-035-A,@little.mango.library,post,2026-08-06,2026-07-30,,,,"Three Tamil word books for children beginning a heritage-language shelf."
SRC-036-P,@weeknight.wordplay,profile,2026-08-06,,Public,9300,"Texas, United States","Quick language games, family routines, and printable learning prompts."
SRC-036-A,@weeknight.wordplay,post,2026-08-06,2026-06-01,,,,"A ten-minute Tamil vocabulary game for the dinner table."
SRC-037-P,@pudavai.and.pages,profile,2026-08-06,,Private,,,"Account is private. No public profile content is available."
SRC-038-P,@kolam.kids.corner,profile,2026-08-06,,Public,14900,"Manchester, United Kingdom","Tamil culture, kolam activities, and children's story sessions. Collaboration enquiries welcome."
SRC-038-A,@kolam.kids.corner,post,2026-08-06,2026-08-01,,,,"A beginner kolam workshop with Tamil shape words for children ages four to seven."
SRC-039-P,@mozhi.mornings,profile,2026-08-06,,Public,3600,"Berlin, Germany","Five-minute Tamil language routines for multilingual families. Book partnerships welcome."
SRC-039-A,@mozhi.mornings,post,2026-08-06,2026-08-02,,,,"Today's routine uses a picture book to practise six Tamil action words."
SRC-040-P,@arun.personal.notes,profile,2026-08-06,,Public,4200,"Vancouver, Canada","Personal photos, cycling updates, and notes for friends."
SRC-040-A,@arun.personal.notes,post,2026-08-06,2026-08-01,,,,"Weekend cycling route and coffee stop."
SRC-041-P,@tamil.tots.archive,profile,2026-08-06,,Inaccessible,,,"Account returned an unavailable-page notice. No public content was collected."
SRC-042-P,@lotus.leaf.learning,profile,2026-08-06,,Public,24800,"Sydney, Australia","Tamil cultural learning, picture books, and play-based activities for young children. Media kit available."
SRC-042-A,@lotus.leaf.learning,post,2026-08-06,2026-08-04,,,,"A Tamil colour hunt based on illustrations from this week's picture book."
SRC-043-P,@bilingual.bookbasket,profile,2026-08-06,,Public,,"Chicago, United States","Tamil and English picture books for family reading. Publisher collaborations welcome."
SRC-043-A,@bilingual.bookbasket,post,2026-08-06,2026-07-25,,,,"A comparison of two Tamil-English first-word books for preschool readers."
SRC-044-P,@paadal.playhouse,profile,2026-08-06,,Public,18700,"Adelaide, Australia","Tamil songs, rhythm games, and early-years language play. Educational partnerships welcome."
SRC-044-A,@paadal.playhouse,post,2026-08-06,2026-08-03,,,,"Clap along while learning five Tamil words from a children's song."
SRC-045-P,@tokyo.tamil.table,profile,2026-08-06,,Public,6600,"Tokyo, Japan","Tamil family meals, language moments, and children's cultural activities."
SRC-045-A,@tokyo.tamil.table,post,2026-08-06,2026-07-31,,,,"A Tamil food-word matching game for young children."
SRC-046-P,@storybook.sambar,profile,2026-08-06,,Public,31400,"Ottawa, Canada","Tamil stories, family reading, and cultural-learning recipes. Book campaigns welcome."
SRC-046-A,@storybook.sambar,post,2026-08-06,2026-08-05,,,,"We read a Tamil harvest story before naming the ingredients in our family recipe."
SRC-047-P,@quiet.kutty.corner,profile,2026-08-06,,Private,,,"Account is private. No public profile content is available."
SRC-048-P,@two.script.stories,profile,2026-08-06,,Public,10800,"Birmingham, United Kingdom","Tamil-English story prompts and literacy activities for children."
SRC-048-A,@two.script.stories,post,2026-08-06,2026-07-26,,,,"A two-script matching page for children learning their first Tamil words."
SRC-049-P,@oldschool.amma,profile,2026-08-06,,Public,8600,"Hamburg, Germany","Traditional Tamil songs, family memories, and occasional book recommendations."
SRC-049-A,@oldschool.amma,post,2026-08-06,2026-04-12,,,,"A childhood Tamil song remembered from school days."
SRC-050-P,@rainbow.mozhi.room,profile,2026-08-06,,Public,21700,"Melbourne, Australia","Inclusive Tamil language play, children's books, and cultural-learning resources. Partnership enquiries open."
SRC-050-A,@rainbow.mozhi.room,post,2026-08-06,2026-08-05,,,,"A rainbow sorting activity for practising seven Tamil colour words with early learners."
